#wRandFlip 
#The training is running for 1000 chunks, each with 10000 images. That are about 220 epochs. The validation sample contains 6157 images. 
#round  ,time, mean_train_loss , mean_valid_loss, mean_sliced_accuracy, mean_train_loss_test, mean_accuracy 
#  starting learning rate to 0.010000 
 141 , 30565.923238 , 0.0929218 , 0.0960312, 0.186838, 0.0920383, 0.818197  
 142 , 30776.492924 , 0.0928917 , 0.0960312, 0.186838, 0.0920383, 0.818197  
 143 , 30987.152545 , 0.0926909 , 0.0960312, 0.186838, 0.0920383, 0.818197  
 144 , 31197.723604 , 0.0923726 , 0.0960312, 0.186838, 0.0920383, 0.818197  
 145 , 31408.087625 , 0.0926742 , 0.0960312, 0.186838, 0.0920383, 0.818197  
 146 , 31618.8707051 , 0.0926949 , 0.0960312, 0.186838, 0.0920383, 0.818197  
 147 , 31829.425082 , 0.0923178 , 0.0960312, 0.186838, 0.0920383, 0.818197  
 148 , 32039.943747 , 0.0924798 , 0.0960312, 0.186838, 0.0920383, 0.818197  
 149 , 32250.5381131 , 0.0923024 , 0.0960312, 0.186838, 0.0920383, 0.818197  
 150 , 32522.616432 , 0.0925562 , 0.0961109, 0.186609, 0.0916993, 0.821289  
 151 , 32733.309747 , 0.0928088 , 0.0961109, 0.186609, 0.0916993, 0.821289  
 152 , 32943.845037 , 0.0925991 , 0.0961109, 0.186609, 0.0916993, 0.821289  
 153 , 33154.2095649 , 0.0923033 , 0.0961109, 0.186609, 0.0916993, 0.821289  
 154 , 33364.606298 , 0.0921836 , 0.0961109, 0.186609, 0.0916993, 0.821289  
 155 , 33580.2564361 , 0.092496 , 0.0961109, 0.186609, 0.0916993, 0.821289  
 156 , 33787.5015049 , 0.0924473 , 0.0961109, 0.186609, 0.0916993, 0.821289  
 157 , 33995.1621571 , 0.0926159 , 0.0961109, 0.186609, 0.0916993, 0.821289  
 158 , 34202.836422 , 0.0924741 , 0.0961109, 0.186609, 0.0916993, 0.821289  
 159 , 34410.9625371 , 0.093018 , 0.0961109, 0.186609, 0.0916993, 0.821289  
 160 , 34680.224709 , 0.0926586 , 0.0965712, 0.185748, 0.0917822, 0.822591  
 161 , 34888.023037 , 0.0922018 , 0.0965712, 0.185748, 0.0917822, 0.822591  
 162 , 35095.9783251 , 0.0922778 , 0.0965712, 0.185748, 0.0917822, 0.822591  
 163 , 35304.3625121 , 0.0927008 , 0.0965712, 0.185748, 0.0917822, 0.822591  
 164 , 35512.1129091 , 0.0921842 , 0.0965712, 0.185748, 0.0917822, 0.822591  
 165 , 35719.6645031 , 0.0919872 , 0.0965712, 0.185748, 0.0917822, 0.822591  
 166 , 35927.4242179 , 0.092112 , 0.0965712, 0.185748, 0.0917822, 0.822591  
 167 , 36135.532552 , 0.0921009 , 0.0965712, 0.185748, 0.0917822, 0.822591  
 168 , 36342.7000589 , 0.0926219 , 0.0965712, 0.185748, 0.0917822, 0.822591  
 169 , 36550.3437011 , 0.0921975 , 0.0965712, 0.185748, 0.0917822, 0.822591  
 170 , 36819.0148549 , 0.0921315 , 0.0962635, 0.185828, 0.0912685, 0.816895  
 171 , 37026.6217761 , 0.0921861 , 0.0962635, 0.185828, 0.0912685, 0.816895  
 172 , 37234.126313 , 0.0919004 , 0.0962635, 0.185828, 0.0912685, 0.816895  
 173 , 37441.170315 , 0.0922802 , 0.0962635, 0.185828, 0.0912685, 0.816895  
 174 , 37648.4261711 , 0.0923155 , 0.0962635, 0.185828, 0.0912685, 0.816895  
 175 , 37856.284569 , 0.0921471 , 0.0962635, 0.185828, 0.0912685, 0.816895  
 176 , 38064.552649 , 0.0924963 , 0.0962635, 0.185828, 0.0912685, 0.816895  
 177 , 38272.268692 , 0.0920356 , 0.0962635, 0.185828, 0.0912685, 0.816895  
 178 , 38480.188009 , 0.0924536 , 0.0962635, 0.185828, 0.0912685, 0.816895  
 179 , 38687.8361831 , 0.0918385 , 0.0962635, 0.185828, 0.0912685, 0.816895  
 180 , 38956.5366261 , 0.091821 , 0.0960497, 0.185306, 0.0909172, 0.823405  
 181 , 39165.2416711 , 0.0923774 , 0.0960497, 0.185306, 0.0909172, 0.823405  
 182 , 39372.811209 , 0.0918987 , 0.0960497, 0.185306, 0.0909172, 0.823405  
 183 , 39580.934258 , 0.0920383 , 0.0960497, 0.185306, 0.0909172, 0.823405  
 184 , 39788.9571459 , 0.0922925 , 0.0960497, 0.185306, 0.0909172, 0.823405  
 185 , 39996.3349071 , 0.09219 , 0.0960497, 0.185306, 0.0909172, 0.823405  
 186 , 40203.8151309 , 0.0915246 , 0.0960497, 0.185306, 0.0909172, 0.823405  
 187 , 40411.3172231 , 0.0922748 , 0.0960497, 0.185306, 0.0909172, 0.823405  
 188 , 40618.8013191 , 0.0924271 , 0.0960497, 0.185306, 0.0909172, 0.823405  
 189 , 40826.128114 , 0.092209 , 0.0960497, 0.185306, 0.0909172, 0.823405  
 190 , 41095.1936531 , 0.091978 , 0.0960553, 0.185875, 0.0910938, 0.823405  
 191 , 41303.3141689 , 0.0924611 , 0.0960553, 0.185875, 0.0910938, 0.823405  
 192 , 41511.2048941 , 0.0921179 , 0.0960553, 0.185875, 0.0910938, 0.823405  
 193 , 41719.116112 , 0.0924845 , 0.0960553, 0.185875, 0.0910938, 0.823405  
 194 , 41926.6992569 , 0.0918612 , 0.0960553, 0.185875, 0.0910938, 0.823405  
 195 , 42134.4276521 , 0.0921635 , 0.0960553, 0.185875, 0.0910938, 0.823405  
 196 , 42342.1929159 , 0.0922515 , 0.0960553, 0.185875, 0.0910938, 0.823405  
 197 , 42549.7601361 , 0.0917786 , 0.0960553, 0.185875, 0.0910938, 0.823405  
 198 , 42757.6386061 , 0.0916176 , 0.0960553, 0.185875, 0.0910938, 0.823405  
 199 , 42965.6633821 , 0.091531 , 0.0960553, 0.185875, 0.0910938, 0.823405  
 200 , 43235.3010991 , 0.0917099 , 0.0959811, 0.189669, 0.0908323, 0.820312  
 201 , 43443.2079971 , 0.0917993 , 0.0959811, 0.189669, 0.0908323, 0.820312  
 202 , 43651.2658181 , 0.0922942 , 0.0959811, 0.189669, 0.0908323, 0.820312  
 203 , 43859.1313839 , 0.0915454 , 0.0959811, 0.189669, 0.0908323, 0.820312  
 204 , 44067.4929719 , 0.0918414 , 0.0959811, 0.189669, 0.0908323, 0.820312  
 205 , 44276.5046601 , 0.0915619 , 0.0959811, 0.189669, 0.0908323, 0.820312  
 206 , 44485.254854 , 0.091594 , 0.0959811, 0.189669, 0.0908323, 0.820312  
 207 , 44693.93957 , 0.091774 , 0.0959811, 0.189669, 0.0908323, 0.820312  
 208 , 44902.4769621 , 0.0920352 , 0.0959811, 0.189669, 0.0908323, 0.820312  
 209 , 45111.2359769 , 0.092106 , 0.0959811, 0.189669, 0.0908323, 0.820312  
 210 , 45381.4303591 , 0.0918485 , 0.0958622, 0.185413, 0.0909538, 0.826986  
 211 , 45590.5700841 , 0.0919091 , 0.0958622, 0.185413, 0.0909538, 0.826986  
 212 , 45799.796119 , 0.0914921 , 0.0958622, 0.185413, 0.0909538, 0.826986  
 213 , 46008.9001701 , 0.0919833 , 0.0958622, 0.185413, 0.0909538, 0.826986  
 214 , 46217.8023701 , 0.0916868 , 0.0958622, 0.185413, 0.0909538, 0.826986  
 215 , 46426.3478141 , 0.0914265 , 0.0958622, 0.185413, 0.0909538, 0.826986  
 216 , 46635.6372411 , 0.0918335 , 0.0958622, 0.185413, 0.0909538, 0.826986  
 217 , 46844.701766 , 0.0920919 , 0.0958622, 0.185413, 0.0909538, 0.826986  
 218 , 47053.9978411 , 0.0921109 , 0.0958622, 0.185413, 0.0909538, 0.826986  
 219 , 47263.082454 , 0.0914306 , 0.0958622, 0.185413, 0.0909538, 0.826986  
 220 , 47534.1295221 , 0.091708 , 0.0957891, 0.18694, 0.0908101, 0.825358  
 221 , 47743.291064 , 0.0913643 , 0.0957891, 0.18694, 0.0908101, 0.825358  
 222 , 47952.0106981 , 0.0922204 , 0.0957891, 0.18694, 0.0908101, 0.825358  
 223 , 48160.159981 , 0.090925 , 0.0957891, 0.18694, 0.0908101, 0.825358  
 224 , 48368.2541599 , 0.0915108 , 0.0957891, 0.18694, 0.0908101, 0.825358  
 225 , 48576.460381 , 0.0918759 , 0.0957891, 0.18694, 0.0908101, 0.825358  
 226 , 48784.6712461 , 0.0916297 , 0.0957891, 0.18694, 0.0908101, 0.825358  
 227 , 48993.06587 , 0.091959 , 0.0957891, 0.18694, 0.0908101, 0.825358  
 228 , 49200.969511 , 0.0915958 , 0.0957891, 0.18694, 0.0908101, 0.825358  
 229 , 49408.9275451 , 0.0921363 , 0.0957891, 0.18694, 0.0908101, 0.825358  
 230 , 49678.2658551 , 0.0916672 , 0.0961108, 0.186166, 0.0907855, 0.822591  
 231 , 49886.9410479 , 0.0910682 , 0.0961108, 0.186166, 0.0907855, 0.822591  
 232 , 50095.3489449 , 0.0916984 , 0.0961108, 0.186166, 0.0907855, 0.822591  
 233 , 50304.3844011 , 0.0917983 , 0.0961108, 0.186166, 0.0907855, 0.822591  
 234 , 50513.6005471 , 0.0916311 , 0.0961108, 0.186166, 0.0907855, 0.822591  
 235 , 50722.2420599 , 0.0917525 , 0.0961108, 0.186166, 0.0907855, 0.822591  
 236 , 50931.0315731 , 0.0916058 , 0.0961108, 0.186166, 0.0907855, 0.822591  
 237 , 51139.6381919 , 0.0913152 , 0.0961108, 0.186166, 0.0907855, 0.822591  
 238 , 51348.6949661 , 0.0919436 , 0.0961108, 0.186166, 0.0907855, 0.822591  
 239 , 51557.706243 , 0.0916366 , 0.0961108, 0.186166, 0.0907855, 0.822591  
 240 , 51828.3851621 , 0.0920201 , 0.0959062, 0.188464, 0.0911097, 0.826497  
 241 , 52038.03018 , 0.0915934 , 0.0959062, 0.188464, 0.0911097, 0.826497  
 242 , 52246.4906559 , 0.0914693 , 0.0959062, 0.188464, 0.0911097, 0.826497  
 243 , 52454.984818 , 0.0916561 , 0.0959062, 0.188464, 0.0911097, 0.826497  
 244 , 52664.104948 , 0.0911298 , 0.0959062, 0.188464, 0.0911097, 0.826497  
 245 , 52872.938374 , 0.0912672 , 0.0959062, 0.188464, 0.0911097, 0.826497  
 246 , 53081.1105421 , 0.0915203 , 0.0959062, 0.188464, 0.0911097, 0.826497  
 247 , 53289.4367061 , 0.0912668 , 0.0959062, 0.188464, 0.0911097, 0.826497  
 248 , 53497.7500761 , 0.0914285 , 0.0959062, 0.188464, 0.0911097, 0.826497  
 249 , 53706.6200221 , 0.0918095 , 0.0959062, 0.188464, 0.0911097, 0.826497  
 250 , 53976.924499 , 0.0917179 , 0.0957294, 0.185856, 0.0908131, 0.821289  
 251 , 54185.8999021 , 0.0912737 , 0.0957294, 0.185856, 0.0908131, 0.821289  
 252 , 54394.4509649 , 0.0913008 , 0.0957294, 0.185856, 0.0908131, 0.821289  
 253 , 54603.456656 , 0.0915993 , 0.0957294, 0.185856, 0.0908131, 0.821289  
 254 , 54812.4009671 , 0.091357 , 0.0957294, 0.185856, 0.0908131, 0.821289  
 255 , 55021.7413871 , 0.0914169 , 0.0957294, 0.185856, 0.0908131, 0.821289  
 256 , 55231.3310649 , 0.0915315 , 0.0957294, 0.185856, 0.0908131, 0.821289  
 257 , 55441.4419911 , 0.0916712 , 0.0957294, 0.185856, 0.0908131, 0.821289  
 258 , 55650.2901571 , 0.0915996 , 0.0957294, 0.185856, 0.0908131, 0.821289  
 259 , 55859.6462359 , 0.0911245 , 0.0957294, 0.185856, 0.0908131, 0.821289  
 260 , 56129.8491991 , 0.0917824 , 0.0958111, 0.184685, 0.0908868, 0.823893  
 261 , 56338.9589939 , 0.09118 , 0.0958111, 0.184685, 0.0908868, 0.823893  
 262 , 56548.3255789 , 0.091304 , 0.0958111, 0.184685, 0.0908868, 0.823893  
 263 , 56756.9970651 , 0.0914186 , 0.0958111, 0.184685, 0.0908868, 0.823893  
 264 , 56965.786839 , 0.0914787 , 0.0958111, 0.184685, 0.0908868, 0.823893  
 265 , 57175.1106851 , 0.0920547 , 0.0958111, 0.184685, 0.0908868, 0.823893  
 266 , 57384.6611161 , 0.0912118 , 0.0958111, 0.184685, 0.0908868, 0.823893  
 267 , 57593.688127 , 0.0913545 , 0.0958111, 0.184685, 0.0908868, 0.823893  
 268 , 57802.8367691 , 0.0912977 , 0.0958111, 0.184685, 0.0908868, 0.823893  
 269 , 58011.808449 , 0.0911717 , 0.0958111, 0.184685, 0.0908868, 0.823893  
 270 , 58282.429069 , 0.0911469 , 0.0960203, 0.185901, 0.0902632, 0.818848  
 271 , 58492.2091711 , 0.0912262 , 0.0960203, 0.185901, 0.0902632, 0.818848  
 272 , 58700.981034 , 0.0914277 , 0.0960203, 0.185901, 0.0902632, 0.818848  
 273 , 58910.4211061 , 0.090792 , 0.0960203, 0.185901, 0.0902632, 0.818848  
 274 , 59119.5554931 , 0.0914233 , 0.0960203, 0.185901, 0.0902632, 0.818848  
 275 , 59328.5768631 , 0.0913053 , 0.0960203, 0.185901, 0.0902632, 0.818848  
