  #wRandFlip 
#The training is running for 20 chunks, each with 1008 images. That are about 0 epochs. The validation sample contains 3078 images. 
#round  ,time, mean_train_loss , mean_valid_loss 
  #wRandFlip 
#The training is running for 20 chunks, each with 1008 images. That are about 0 epochs. The validation sample contains 3078 images. 
#round  ,time, mean_train_loss , mean_valid_loss 
  #wRandFlip 
#The training is running for 20 chunks, each with 1008 images. That are about 0 epochs. The validation sample contains 3078 images. 
#round  ,time, mean_train_loss , mean_valid_loss 
#  starting learning rate to 0.080000 
 118 , 4021.60748792 , 0.0849539 , 0.0824655 
 119 , 4052.91866398 , 0.0843231 , 0.0824655 
 120 , 4137.80743098 , 0.085529 , 0.0820447 
 121 , 4169.23860502 , 0.0869926 , 0.0820447 
 122 , 4200.53616881 , 0.0860449 , 0.0820447 
 123 , 4231.95548892 , 0.0851757 , 0.0820447 
 124 , 4263.35597396 , 0.0858232 , 0.0820447 
 125 , 4294.58701181 , 0.0841996 , 0.0820447 
 126 , 4326.05295801 , 0.0851756 , 0.0820447 
 127 , 4357.55458188 , 0.082967 , 0.0820447 
 128 , 4389.004632 , 0.0869347 , 0.0820447 
 129 , 4420.42163396 , 0.0855001 , 0.0820447 
 130 , 4451.80976081 , 0.0862021 , 0.0820447 
 131 , 4483.15878487 , 0.084639 , 0.0820447 
 132 , 4514.5734489 , 0.0835465 , 0.0820447 
 133 , 4546.05086398 , 0.0876482 , 0.0820447 
 134 , 4577.39646602 , 0.0857856 , 0.0820447 
 135 , 4608.85151196 , 0.0836681 , 0.0820447 
 136 , 4640.37112379 , 0.0838095 , 0.0820447 
 137 , 4671.82518196 , 0.0857937 , 0.0820447 
 138 , 4703.26197195 , 0.0862077 , 0.0820447 
 139 , 4734.61093998 , 0.0831042 , 0.0820447 
 140 , 4819.77337599 , 0.0839931 , 0.0821391 
 141 , 4851.25050998 , 0.0854123 , 0.0821391 
 142 , 4882.7313869 , 0.0870921 , 0.0821391 
 143 , 4914.21825695 , 0.0868735 , 0.0821391 
 144 , 4945.73249102 , 0.0839132 , 0.0821391 
 145 , 4977.18290496 , 0.0862888 , 0.0821391 
 146 , 5008.74354482 , 0.0844194 , 0.0821391 
 147 , 5040.18807483 , 0.0844108 , 0.0821391 
 148 , 5071.67463684 , 0.0857836 , 0.0821391 
 149 , 5103.18545985 , 0.0846754 , 0.0821391 
 150 , 5134.62713099 , 0.0847486 , 0.0821391 
 151 , 5166.03371501 , 0.0870541 , 0.0821391 
 152 , 5197.53814697 , 0.0852942 , 0.0821391 
 153 , 5229.11165285 , 0.0852038 , 0.0821391 
 154 , 5260.57738686 , 0.0836963 , 0.0821391 
 155 , 5292.05604291 , 0.0845511 , 0.0821391 
 156 , 5323.56682682 , 0.0856779 , 0.0821391 
 157 , 5355.04316497 , 0.0844706 , 0.0821391 
 158 , 5386.53905988 , 0.0821566 , 0.0821391 
 159 , 5417.99994993 , 0.0864728 , 0.0821391 
 160 , 5503.08297181 , 0.0858985 , 0.0820787 
 161 , 5534.51732492 , 0.0860762 , 0.0820787 
 162 , 5565.95952892 , 0.0824608 , 0.0820787 
